Kerem Burak's Team;Gabe Vincent;PG;9.4;0.3;2.1;0.1;2.5;0.4;0.1;0.1;0.9;0.1;A.J. Green;SG;4.4;0.4;1.3;0.1;0.6;0.3;0.0;0.1;0.2;0.1;AJ Griffin;SF;8.9;0.2;2.1;0.2;1.0;0.15;0.2;0.2;0.6;0.25;Aaron Gordon;PF;16.3;0.3;6.6;0.3;3.0;0.1;0.8;0.2;0.8;0.1;Al Horford;C;9.8;0.2;6.2;0.3;3.0;0.0;1.0;0.4;0.5;0.1;
Boston KUltics;Goran Dragi?;PG;6.3;0.3;1.4;0.1;2.6;0.4;0.1;0.1;0.2;0.1;Terrence Ross;SG;8.3;0.4;2.4;0.1;1.5;0.3;0.2;0.1;0.6;0.1;Jordan Nwora;SF;6.0;0.2;3.1;0.2;1.0;0.15;0.2;0.2;0.3;0.25;Aaron Gordon;PF;16.3;0.3;6.6;0.3;3.0;0.1;0.8;0.2;0.8;0.1;Blake Griffin;C;4.1;0.2;3.8;0.3;1.5;0.0;0.2;0.4;0.3;0.1;
ChicaKU Bulls;Kevin Porter Jr.;PG;19.2;0.3;5.3;0.1;5.7;0.4;0.3;0.1;1.4;0.1;Ochai Agbaji;SG;7.9;0.4;2.1;0.1;1.1;0.3;0.3;0.1;0.3;0.1;Trey Murphy III;SF;14.5;0.2;3.6;0.2;1.4;0.15;0.5;0.2;1.1;0.25;Grant Williams;PF;8.1;0.3;4.6;0.3;1.7;0.1;0.4;0.2;0.5;0.1;Naz Reid;C;11.5;0.2;4.9;0.3;1.1;0.0;0.8;0.4;0.6;0.1;
Golden KU Warriors;Kendrick Nunn;PG;7.5;0.3;1.7;0.1;1.8;0.4;0.1;0.1;0.5;0.1;Garrison Mathews;SG;4.8;0.4;1.4;0.1;0.5;0.3;0.1;0.1;0.4;0.1;Jae Crowder;SF;6.9;0.2;3.8;0.2;1.5;0.15;0.3;0.2;0.7;0.25;David Roddy;PF;6.7;0.3;2.8;0.3;0.8;0.1;0.3;0.2;0.4;0.1;Domantas Sabonis;C;19.1;0.2;12.3;0.3;7.3;0.0;0.5;0.4;0.8;0.1;
MiaKU Heats;R.J. Hampton;PG;5.7;0.3;1.5;0.1;1.3;0.4;0.2;0.1;0.6;0.1;Malik Beasley;SG;13.4;0.4;3.6;0.1;1.7;0.3;0.1;0.1;0.8;0.1;Lauri Markkanen;SF;25.6;0.2;8.6;0.2;1.9;0.15;0.6;0.2;0.6;0.25;Evan Mobley;PF;16.2;0.3;9.0;0.3;2.8;0.1;1.5;0.2;0.8;0.1;Ivica Zubac;C;10.8;0.2;9.9;0.3;1.0;0.0;1.3;0.4;0.4;0.1;
Toronto RaptorKUs;Reggie Jackson;PG;7.9;0.3;1.8;0.1;3.1;0.4;0.1;0.1;0.6;0.1;Dejounte Murray;SG;20.5;0.4;5.3;0.1;6.1;0.3;0.3;0.1;1.5;0.1;Haywood Highsmith;SF;4.4;0.2;3.5;0.2;0.8;0.15;0.3;0.2;0.7;0.25;Chris Silva;PF;2.0;0.3;0.0;0.3;0.0;0.1;0.0;0.2;0.0;0.1;Isaiah Jackson;C;7.2;0.2;4.5;0.3;0.8;0.0;1.5;0.4;0.5;0.1;
KUladelphia 76ers;Quenton Jackson;PG;6.2;0.3;0.9;0.1;1.7;0.4;0.1;0.1;0.4;0.1;Wendell Moore Jr.;SG;1.4;0.4;0.6;0.1;0.6;0.3;0.2;0.1;0.3;0.1;Julian Champagnie;SF;0.0;0.2;0.0;0.2;0.0;0.15;0.0;0.2;0.5;0.25;Darius Bazley;PF;5.4;0.3;3.4;0.3;0.9;0.1;0.8;0.2;0.5;0.1;Mason Plumlee;C;10.8;0.2;8.9;0.3;3.1;0.0;0.6;0.4;0.6;0.1;
WasKUngton Wizards;Th�o Maledon;PG;6.7;0.3;2.8;0.1;3.5;0.4;0.3;0.1;0.8;0.1;Donte DiVincenzo;SG;9.4;0.4;4.5;0.1;3.5;0.3;0.1;0.1;1.3;0.1;Keita Bates-Diop;SF;9.7;0.2;3.7;0.2;1.5;0.15;0.3;0.2;0.7;0.25;Nicolas Batum;PF;6.1;0.3;3.8;0.3;1.6;0.1;0.6;0.2;0.7;0.1;Kai Jones;C;3.4;0.2;2.7;0.3;0.3;0.0;0.7;0.4;0.4;0.1;
KUleveland Cavaliers;McKinley Wright IV;PG;4.2;0.3;1.7;0.1;2.1;0.4;0.2;0.1;0.3;0.1;A.J. Lawson;SG;2.0;0.4;1.0;0.1;0.0;0.3;0.0;0.1;0.0;0.1;Jae'Sean Tate;SF;9.1;0.2;3.8;0.2;2.7;0.15;0.2;0.2;0.7;0.25;T.J. Warren;PF;9.5;0.3;2.8;0.3;1.1;0.1;0.3;0.2;0.6;0.1;Damian Jones;C;3.5;0.2;3.0;0.3;0.4;0.0;0.5;0.4;0.2;0.1;
Houston RocKUts;Tyus Jones;PG;10.3;0.3;2.5;0.1;5.2;0.4;0.1;0.1;1.0;0.1;Theo Pinson;SG;2.4;0.4;1.6;0.1;1.2;0.3;0.0;0.1;0.2;0.1;Andre Iguodala;SF;2.1;0.2;2.1;0.2;2.4;0.15;0.4;0.2;0.5;0.25;Jarred Vanderbilt;PF;8.3;0.3;7.9;0.3;2.7;0.1;0.3;0.2;1.0;0.1;Maxi Kleber;C;5.9;0.2;3.6;0.3;1.4;0.0;0.8;0.4;0.3;0.1;
