Match #1- Home: Kerem Burak's Team Away: Boston KUltics, Winner: Kerem Burak's Team
Match #2- Home: Boston KUltics Away: Kerem Burak's Team, Winner: Boston KUltics
Match #3- Home: Kerem Burak's Team Away: ChicaKU Bulls, Winner: ChicaKU Bulls
Match #4- Home: ChicaKU Bulls Away: Kerem Burak's Team, Winner: ChicaKU Bulls
Match #5- Home: Kerem Burak's Team Away: Golden KU Warriors, Winner: Kerem Burak's Team
Match #6- Home: Golden KU Warriors Away: Kerem Burak's Team, Winner: Kerem Burak's Team
Match #7- Home: Kerem Burak's Team Away: MiaKU Heats, Winner: MiaKU Heats
Match #8- Home: MiaKU Heats Away: Kerem Burak's Team, Winner: MiaKU Heats
Match #9- Home: Kerem Burak's Team Away: Toronto RaptorKUs, Winner: Kerem Burak's Team
Match #10- Home: Toronto RaptorKUs Away: Kerem Burak's Team, Winner: Toronto RaptorKUs
Match #11- Home: Kerem Burak's Team Away: KUladelphia 76ers, Winner: Kerem Burak's Team
Match #12- Home: KUladelphia 76ers Away: Kerem Burak's Team, Winner: Kerem Burak's Team
Match #13- Home: Kerem Burak's Team Away: WasKUngton Wizards, Winner: Kerem Burak's Team
Match #14- Home: WasKUngton Wizards Away: Kerem Burak's Team, Winner: Kerem Burak's Team
Match #15- Home: Kerem Burak's Team Away: KUleveland Cavaliers, Winner: Kerem Burak's Team
Match #16- Home: KUleveland Cavaliers Away: Kerem Burak's Team, Winner: Kerem Burak's Team
Match #17- Home: Kerem Burak's Team Away: Houston RocKUts, Winner: Kerem Burak's Team
Match #18- Home: Houston RocKUts Away: Kerem Burak's Team, Winner: Kerem Burak's Team
Match #19- Home: Kerem Burak's Team Away: Atlanta HawKU, Winner: Atlanta HawKU
Match #20- Home: Atlanta HawKU Away: Kerem Burak's Team, Winner: Atlanta HawKU
Match #21- Home: Kerem Burak's Team Away: KUharlotte Hornets, Winner: Kerem Burak's Team
Match #22- Home: KUharlotte Hornets Away: Kerem Burak's Team, Winner: Kerem Burak's Team
Match #23- Home: Kerem Burak's Team Away: New Orleans PeliKUns, Winner: Kerem Burak's Team
Match #24- Home: New Orleans PeliKUns Away: Kerem Burak's Team, Winner: Kerem Burak's Team
Match #25- Home: Kerem Burak's Team Away: KU Antonio Spurs, Winner: KU Antonio Spurs
Match #26- Home: KU Antonio Spurs Away: Kerem Burak's Team, Winner: KU Antonio Spurs
Match #27- Home: Kerem Burak's Team Away: Minnesota TimberKUs, Winner: Kerem Burak's Team
Match #28- Home: Minnesota TimberKUs Away: Kerem Burak's Team, Winner: Kerem Burak's Team
Match #29- Home: Kerem Burak's Team Away: Memphis KUrizzlies, Winner: Memphis KUrizzlies
Match #30- Home: Memphis KUrizzlies Away: Kerem Burak's Team, Winner: Memphis KUrizzlies
Match #31- Home: Boston KUltics Away: ChicaKU Bulls, Winner: ChicaKU Bulls
Match #32- Home: ChicaKU Bulls Away: Boston KUltics, Winner: ChicaKU Bulls
Match #33- Home: Boston KUltics Away: Golden KU Warriors, Winner: Boston KUltics
Match #34- Home: Golden KU Warriors Away: Boston KUltics, Winner: Boston KUltics
Match #35- Home: Boston KUltics Away: MiaKU Heats, Winner: MiaKU Heats
Match #36- Home: MiaKU Heats Away: Boston KUltics, Winner: MiaKU Heats
Match #37- Home: Boston KUltics Away: Toronto RaptorKUs, Winner: Toronto RaptorKUs
Match #38- Home: Toronto RaptorKUs Away: Boston KUltics, Winner: Toronto RaptorKUs
Match #39- Home: Boston KUltics Away: KUladelphia 76ers, Winner: Boston KUltics
Match #40- Home: KUladelphia 76ers Away: Boston KUltics, Winner: Boston KUltics
Match #41- Home: Boston KUltics Away: WasKUngton Wizards, Winner: Boston KUltics
Match #42- Home: WasKUngton Wizards Away: Boston KUltics, Winner: WasKUngton Wizards
Match #43- Home: Boston KUltics Away: KUleveland Cavaliers, Winner: Boston KUltics
Match #44- Home: KUleveland Cavaliers Away: Boston KUltics, Winner: Boston KUltics
Match #45- Home: Boston KUltics Away: Houston RocKUts, Winner: Boston KUltics
Match #46- Home: Houston RocKUts Away: Boston KUltics, Winner: Boston KUltics
Match #47- Home: Boston KUltics Away: Atlanta HawKU, Winner: Atlanta HawKU
Match #48- Home: Atlanta HawKU Away: Boston KUltics, Winner: Atlanta HawKU
Match #49- Home: Boston KUltics Away: KUharlotte Hornets, Winner: Boston KUltics
Match #50- Home: KUharlotte Hornets Away: Boston KUltics, Winner: Boston KUltics
Match #51- Home: Boston KUltics Away: New Orleans PeliKUns, Winner: Boston KUltics
Match #52- Home: New Orleans PeliKUns Away: Boston KUltics, Winner: Boston KUltics
Match #53- Home: Boston KUltics Away: KU Antonio Spurs, Winner: KU Antonio Spurs
Match #54- Home: KU Antonio Spurs Away: Boston KUltics, Winner: KU Antonio Spurs
Match #55- Home: Boston KUltics Away: Minnesota TimberKUs, Winner: Boston KUltics
Match #56- Home: Minnesota TimberKUs Away: Boston KUltics, Winner: Boston KUltics
Match #57- Home: Boston KUltics Away: Memphis KUrizzlies, Winner: Memphis KUrizzlies
Match #58- Home: Memphis KUrizzlies Away: Boston KUltics, Winner: Memphis KUrizzlies
Match #59- Home: ChicaKU Bulls Away: Golden KU Warriors, Winner: ChicaKU Bulls
Match #60- Home: Golden KU Warriors Away: ChicaKU Bulls, Winner: ChicaKU Bulls
Match #61- Home: ChicaKU Bulls Away: MiaKU Heats, Winner: MiaKU Heats
Match #62- Home: MiaKU Heats Away: ChicaKU Bulls, Winner: MiaKU Heats
Match #63- Home: ChicaKU Bulls Away: Toronto RaptorKUs, Winner: ChicaKU Bulls
Match #64- Home: Toronto RaptorKUs Away: ChicaKU Bulls, Winner: ChicaKU Bulls
Match #65- Home: ChicaKU Bulls Away: KUladelphia 76ers, Winner: ChicaKU Bulls
Match #66- Home: KUladelphia 76ers Away: ChicaKU Bulls, Winner: ChicaKU Bulls
Match #67- Home: ChicaKU Bulls Away: WasKUngton Wizards, Winner: ChicaKU Bulls
Match #68- Home: WasKUngton Wizards Away: ChicaKU Bulls, Winner: ChicaKU Bulls
Match #69- Home: ChicaKU Bulls Away: KUleveland Cavaliers, Winner: ChicaKU Bulls
Match #70- Home: KUleveland Cavaliers Away: ChicaKU Bulls, Winner: ChicaKU Bulls
Match #71- Home: ChicaKU Bulls Away: Houston RocKUts, Winner: ChicaKU Bulls
Match #72- Home: Houston RocKUts Away: ChicaKU Bulls, Winner: ChicaKU Bulls
Match #73- Home: ChicaKU Bulls Away: Atlanta HawKU, Winner: Atlanta HawKU
